id,user,likes,dislikes,followers
2,Skilmurray1,4845,942,16248
5,Htacker4,4590,1089,13990
6,Bhutchence5,4137,1836,17938
10,Mduerden9,4927,2626,18728
19,Dmayoi,4752,849,16155
21,Emulqueenk,4351,2050,18152
24,Asummersiden,4036,1735,17837
30,Kdalgarnot,4090,1387,19894
33,Scroalw,4296,393,15699
44,Ojanu17,4033,1732,17834
46,Aferneyhough19,4944,1842,17546
50,Lbarribal1d,4723,1222,14123
52,Scawse1f,4356,2055,18157
54,Hnairns1h,4606,1105,14006
63,Cgossling1q,4333,2032,18134
69,Gletts1w,4470,567,15873
73,Cdmitrievski20,4471,2170,18272
96,Lkabsch2n,4450,547,15853
98,Cdarkott2p,4220,1118,16822
